row,check_number,session_start
0,6729,08:42:00
1,6982,15:30:00
2,8219,14:15:00
3,6116,15:00:00
4,7707,08:42:00
5,1032,21:00:00
6,9219,21:00:00
7,183,22:30:00
8,6775,06:00:00
9,7098,06:00:00
10,4923,21:00:00
11,1222,15:30:00
12,4997,21:00:00
13,2678,08:42:00
14,1592,07:00:00
15,819,21:00:00
16,6079,22:30:00
17,3944,22:30:00
18,2409,06:15:00
19,6916,21:00:00
20,3369,08:42:00
21,2798,23:42:00
22,3649,07:30:00
23,2851,23:42:00
24,5530,08:42:00
25,9069,23:42:00
26,9312,15:30:00
27,2922,07:00:00
28,6942,22:30:00
29,972,21:00:00
30,4757,23:42:00
31,5009,14:00:00
32,2674,22:30:00
33,1987,07:30:00
34,7989,23:42:00
35,2647,15:00:00
36,4501,14:15:00
37,3145,23:42:00
38,9122,21:00:00
39,7286,22:15:00
40,292,14:15:00
41,3551,07:30:00
42,4145,23:42:00
43,1783,08:42:00
44,2685,15:30:00
45,9902,15:30:00
46,5694,15:34:00
47,2936,14:15:00
48,1404,14:15:00
49,7165,06:00:00
50,9214,22:30:00
51,9470,21:00:00
52,7638,22:30:00
53,6368,06:00:00
54,9419,15:30:00
55,3275,08:42:00
56,4584,22:30:00
57,331,22:30:00
58,421,15:00:00
59,5873,15:34:00
60,9984,06:00:00
61,3230,08:42:00
62,3301,21:00:00
63,5618,21:00:00
64,2857,15:34:00
65,5669,15:34:00
66,4194,14:00:00
67,8749,06:00:00
68,4535,22:30:00
69,9992,14:00:00
70,1256,15:30:00
71,6946,22:30:00
72,8511,06:00:00
73,760,06:15:00
74,3064,22:30:00
75,9565,06:15:00
76,769,07:30:00
77,800,06:15:00
78,4646,08:42:00
79,1954,06:00:00
80,1402,23:42:00
81,9293,15:30:00
82,9881,15:00:00
83,8716,08:42:00
84,6573,21:00:00
85,226,07:00:00
86,7256,21:00:00
87,7507,22:15:00
88,8251,14:15:00
89,8662,22:15:00
90,2476,15:34:00
91,193,07:30:00
92,1810,06:00:00
93,7827,21:00:00
94,8614,14:15:00
95,445,21:00:00
96,1057,22:30:00
97,6743,08:42:00
98,1219,06:00:00
99,44,22:15:00
100,9858,14:00:00
101,4109,06:00:00
102,4933,14:15:00
103,2799,06:15:00
104,2912,14:00:00
105,8746,07:00:00
106,7174,15:00:00
107,4764,15:34:00
108,7739,15:00:00
109,4414,21:00:00
110,7247,15:30:00
111,9502,15:00:00
112,6409,21:00:00
113,8858,23:42:00
114,4257,14:15:00
115,5544,08:42:00
116,5644,15:00:00
117,4941,14:00:00
118,5317,06:00:00
119,7399,07:30:00
120,2724,06:15:00
121,2126,07:30:00
122,3677,07:30:00
123,5790,21:00:00
124,5824,15:00:00
125,7482,22:15:00
126,1998,23:42:00
127,9601,06:15:00
128,5452,22:15:00
129,9147,21:00:00
130,1176,08:42:00
131,7401,15:34:00
132,7007,07:30:00
133,1474,23:42:00
134,1066,22:15:00
135,8241,22:30:00
136,5912,15:34:00
137,816,06:15:00
138,5936,07:00:00
139,5886,14:00:00
140,1229,14:00:00
141,8912,22:15:00
142,2325,07:30:00
143,2613,14:00:00
144,262,22:30:00
145,7514,21:00:00
146,3479,22:30:00
147,8227,22:15:00
148,3685,06:15:00
149,4177,21:00:00
150,4647,15:00:00
151,2648,22:15:00
152,6618,06:15:00
153,3344,21:00:00
154,5662,15:30:00
155,6876,06:15:00
156,9603,22:30:00
157,7026,08:42:00
158,4915,14:00:00
159,7673,06:00:00
160,5032,14:00:00
161,3378,14:15:00
162,906,21:00:00
163,6670,15:30:00
164,8945,21:00:00
165,5812,14:00:00
166,4085,07:30:00
167,4027,15:00:00
168,8984,15:00:00
169,5424,06:00:00
170,3905,07:00:00
171,1110,22:15:00
172,2942,21:00:00
173,3786,07:30:00
174,3165,14:00:00
175,6151,06:00:00
176,9585,06:00:00
177,2834,22:30:00
178,7684,21:00:00
179,5328,22:15:00
180,6465,08:42:00
181,9850,23:42:00
182,4513,06:00:00
183,9091,06:15:00
184,566,07:30:00
185,4993,06:00:00
186,7420,06:15:00
187,6220,15:34:00
188,3182,14:00:00
189,1552,14:00:00
190,9094,22:15:00
191,2811,22:30:00
192,1762,21:00:00
193,3717,06:15:00
194,7596,22:15:00
195,1670,22:30:00
196,1618,22:15:00
197,1707,15:34:00
198,2000,07:00:00
199,6738,06:00:00
200,2299,06:00:00
201,9473,15:00:00
202,1745,14:00:00
203,4914,15:00:00
